ProcessName,Foreground,Background,DownloadBytes,UploadBytes,IoReadBytes,IoWriteBytes
"svchost",0,6779395,150447,296896,0,0
"chrome",26499,4269308,709041,378602,0,0
"msedgewebview2",0,3740039,7584,9550,0,0
"conhost",0,1905414,0,0,0,0
"CefSharp.BrowserSubprocess",0,1700063,0,0,0,0
"RuntimeBroker",0,1389694,0,0,0,0
"taskhostw",0,963323,0,0,0,0
"MSBuild",0,882685,0,0,0,0
"dllhost",0,773782,0,0,0,0
"powershell",0,596527,0,0,0,0
"Razer Synapse Service Process",0,594953,472,1597,0,0
"Tai",0,594953,1129,4,0,0
"SystrayComponent",0,594953,160,160,0,0
"Razer Synapse 3",0,594953,256,0,0,0
"ctfmon",0,594953,0,0,0,0
"IGCC",0,594953,0,0,0,0
"IGCCTray",0,594953,0,0,0,0
"Magpie",0,594953,0,0,0,0
"PrintDisp",0,594953,0,0,0,0
"ProcessLasso",0,594953,0,0,0,0
"Razer Central",0,594953,0,0,0,0
"StartMenuExperienceHost",0,594953,0,0,0,0
"VBCSCompiler",0,594953,0,0,0,0
"WinFormsApp1.Desktop",408311,186642,0,0,0,0
"UPSecurityInput",0,544035,0,0,0,0
"audiodg",0,528303,0,0,0,0
"OpenConsole",0,527858,0,0,0,0
"ChsIME",0,523644,0,0,0,0
"PerfWatson2",0,515356,3508,79368,0,0
"app",2462,512894,28407,14792,0,0
"codex",0,515356,5326,2590,0,0
"baidupinyin",0,515356,647,1581,0,0
"explorer",13168,502188,0,230,0,0
"copilot-language-server",0,515356,87,63,0,0
"ApplicationFrameHost",7575,507781,0,0,0,0
"CastSrv",0,515356,0,0,0,0
"clash-verge",0,515356,0,0,0,0
"CompPkgSrv",0,515356,0,0,0,0
"D4WebServer_wss_ABC",0,515356,0,0,0,0
"DBSvr_ABC",0,515356,0,0,0,0
"devenv",2475,512881,0,0,0,0
"DevHub",0,515356,0,0,0,0
"LivePreviewSurface",0,515356,0,0,0,0
"LockApp",0,515356,0,0,0,0
"node",0,515356,0,0,0,0
"RAVCpl64",0,515356,0,0,0,0
"RtkAudUService64",0,515356,0,0,0,0
"rundll32",0,515356,0,0,0,0
"RzTHX0529",0,515356,0,0,0,0
"SDXHelper",0,515356,0,0,0,0
"SearchApp",0,515356,0,0,0,0
"SecurityHealthSystray",0,515356,0,0,0,0
"ShellExperienceHost",0,515356,0,0,0,0
"sihost",0,515356,0,0,0,0
"SystemSettingsBroker",0,515356,0,0,0,0
"TextInputHost",0,515356,0,0,0,0
